id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_tenaga_kerja,satuan,tahun
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2016
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,171,ORANG,2016
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,303,ORANG,2016
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,1106,ORANG,2016
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,57,ORANG,2016
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2016
73,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2016
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2016
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2016
76,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2016
77,32,JAWA BARAT,3275,KOTA BEKASI,35,ORANG,2016
78,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2016
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2016
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2016
81,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2016
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,1238,ORANG,2017
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20,ORANG,2017
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2017
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,146,ORANG,2017
86,32,JAWA BARAT,3205,KABUPATEN GARUT,19,ORANG,2017
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2017
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2017
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3,ORANG,2017
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,822,ORANG,2017
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,97,ORANG,2017
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,277,ORANG,2017
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,23,ORANG,2017
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2017
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,84,ORANG,2017
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2,ORANG,2017
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,1677,ORANG,2017
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2017
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2017
100,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2017
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2017
103,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2017
104,32,JAWA BARAT,3275,KOTA BEKASI,558,ORANG,2017
